student_id,age,gender,department,attendance,previous_gpa,study_hours,assignment_score,ca_score,semester_result,performance_category
ST0046,18,Female,Business Admin,70.6,2.62,5.0,68.0,45.6,35.0,Medium
ST0047,25,Female,Business Admin,45.9,1.83,1.3,57.4,41.9,41.6,Low
ST0048,24,Female,Engineering,94.7,3.99,10.3,88.0,79.2,74.5,High
ST0049,22,Male,Medicine,53.7,1.73,5.7,28.1,50.0,44.2,Low
ST0050,26,Male,Business Admin,75.0,2.55,5.6,60.2,65.0,66.1,Medium
ST0051,28,Male,Computer Science,79.8,1.84,4.8,62.2,65.4,57.6,Medium
ST0052,22,Male,Economics,82.5,2.51,5.2,77.5,57.6,59.9,Medium
ST0053,23,Female,Business Admin,95.8,3.38,4.7,84.0,87.9,67.2,High
ST0054,25,Female,Engineering,60.0,2.24,0.0,28.8,33.3,35.8,Low
ST0055,28,Female,Computer Science,100.0,3.57,7.6,81.7,84.3,78.4,High
ST0056,27,Female,Economics,44.1,1.6,2.5,28.1,42.7,55.0,Low
ST0057,24,Female,Computer Science,59.0,3.43,2.7,70.5,66.4,55.6,Medium
ST0058,29,Female,Education,90.6,3.79,6.8,80.8,80.3,82.7,High
ST0059,19,Male,Law,49.7,1.72,1.7,56.5,11.5,56.4,Low
ST0060,28,Female,Computer Science,81.5,2.78,3.3,66.0,60.1,59.8,Medium
ST0061,22,Male,Education,88.4,3.7,8.2,69.1,74.3,79.3,High
ST0062,20,Male,Computer Science,92.4,3.43,9.1,86.6,79.3,68.1,High
ST0063,28,Female,Engineering,99.9,3.53,9.6,90.4,83.7,82.4,High
ST0064,29,Male,Law,84.1,3.74,11.8,82.5,73.2,71.5,High
ST0065,19,Male,Accounting,87.9,3.78,4.0,98.0,74.2,79.9,High
ST0066,20,Female,Computer Science,53.3,3.2,3.6,69.9,40.3,66.9,Medium
ST0067,27,Female,Law,72.1,2.42,4.2,68.9,61.1,63.8,Medium
ST0068,20,Female,Medicine,88.2,2.84,3.2,48.7,58.1,67.2,Medium
ST0069,28,Female,Business Admin,57.5,2.8,2.5,65.6,68.9,53.8,Medium
ST0070,24,Male,Medicine,67.2,3.66,9.9,85.2,89.9,69.4,High
ST0071,25,Female,Medicine,54.2,2.93,4.0,61.2,63.5,53.1,Medium
ST0072,25,Female,Accounting,43.9,1.92,0.4,27.0,46.2,24.2,Low
ST0073,27,Female,Medicine,62.2,2.02,1.1,48.8,30.6,33.5,Low
ST0074,27,Male,Education,86.6,2.11,3.8,64.3,78.0,61.8,Medium
ST0075,22,Female,Accounting,92.5,3.63,5.8,88.3,87.8,84.4,High
ST0076,23,Male,Law,69.5,3.65,11.2,90.0,86.5,77.4,High
ST0077,20,Male,Computer Science,46.9,2.24,1.2,46.5,22.4,23.3,Low
ST0078,20,Female,Economics,64.7,2.37,3.0,41.1,9.3,37.1,Low
ST0079,22,Female,Computer Science,47.2,2.05,2.7,55.0,38.6,65.0,Low
ST0080,25,Male,Medicine,24.0,2.5,1.7,16.6,43.0,34.4,Low
ST0081,23,Female,Economics,57.1,3.21,5.0,75.5,57.9,53.3,Medium
ST0082,28,Female,Computer Science,72.3,2.84,3.7,57.0,47.7,53.7,Medium
ST0083,25,Female,Law,96.1,3.54,6.1,86.8,74.6,76.1,High
ST0084,22,Female,Medicine,73.6,2.78,6.4,70.6,62.6,54.4,Medium
ST0085,17,Male,Engineering,62.4,2.42,5.7,61.5,60.3,50.4,Medium
ST0086,28,Male,Business Admin,86.2,3.32,10.8,90.3,65.2,70.6,High
ST0087,27,Female,Business Admin,51.0,1.18,0.6,28.0,40.5,38.8,Low
ST0088,18,Female,Education,66.5,2.69,8.3,75.4,47.0,66.3,Medium
ST0089,28,Male,Medicine,61.7,1.33,3.2,58.5,24.5,27.0,Low
ST0090,28,Female,Law,58.6,2.07,2.6,24.1,50.6,52.0,Low
ST0091,26,Female,Education,75.8,3.75,10.1,81.5,89.0,75.3,High
ST0092,20,Male,Computer Science,71.8,2.73,5.5,58.3,58.7,66.3,Medium
ST0093,21,Female,Economics,55.2,1.14,3.8,52.4,45.0,24.5,Low
ST0094,23,Female,Education,62.3,2.05,5.9,48.5,42.8,70.7,Medium
ST0095,23,Female,Education,70.7,1.84,6.8,55.1,63.3,35.0,Medium
ST0096,28,Male,Education,95.8,3.37,6.2,79.3,75.2,86.6,High
ST0097,18,Female,Law,47.0,2.5,2.5,50.7,38.0,53.3,Low
ST0098,22,Male,Law,47.2,2.5,4.2,40.0,22.5,43.1,Low
ST0099,21,Male,Law,84.2,3.59,7.6,74.8,85.9,76.7,High
ST0100,26,Female,Law,80.6,3.18,4.6,74.7,59.0,65.8,Medium
ST0101,21,Male,Engineering,69.3,2.86,5.2,63.3,66.2,52.3,Medium
ST0102,25,Female,Engineering,76.7,3.37,7.5,73.3,76.2,86.3,High
ST0103,20,Male,Accounting,85.4,3.84,4.3,73.6,61.4,69.5,High
ST0104,22,Male,Computer Science,87.9,2.61,5.2,73.2,53.2,67.6,Medium
ST0105,27,Male,Accounting,87.7,2.57,7.2,80.3,57.5,54.6,Medium
ST0106,25,Male,Education,81.5,3.33,11.4,75.7,82.1,78.3,High
ST0107,29,Female,Engineering,75.8,3.12,8.0,56.8,53.8,47.4,Medium
ST0108,29,Male,Computer Science,87.7,4.0,8.8,87.8,80.1,81.2,High
ST0109,29,Female,Economics,96.7,3.81,11.1,84.6,72.7,91.7,High
ST0110,22,Female,Business Admin,78.4,2.94,6.8,72.7,57.8,74.3,Medium
ST0111,19,Male,Education,47.3,1.56,3.6,65.0,33.7,52.6,Low
ST0112,20,Female,Medicine,97.9,3.46,8.9,82.5,86.8,60.0,High
ST0113,19,Male,Education,44.7,2.01,3.8,34.1,15.5,45.4,Low
ST0114,27,Female,Education,65.8,2.73,3.8,39.9,69.0,70.7,Medium
ST0115,25,Female,Computer Science,93.2,3.26,8.6,81.9,84.8,83.3,High
ST0116,21,Male,Medicine,86.0,2.97,6.5,68.2,48.6,58.6,Medium
ST0117,23,Female,Law,82.2,3.76,9.3,81.1,82.8,79.7,High
ST0118,29,Female,Economics,94.3,3.69,12.7,90.9,79.3,68.3,High
ST0119,28,Female,Economics,65.7,2.4,3.5,55.1,68.5,56.4,Medium
ST0120,22,Female,Business Admin,74.2,2.61,7.3,57.8,71.1,64.0,Medium
ST0121,29,Female,Accounting,54.1,2.18,0.2,29.3,45.2,26.6,Low
ST0122,20,Female,Medicine,80.5,2.31,6.1,68.3,53.0,63.8,Medium
ST0123,22,Male,Education,79.9,3.01,9.7,69.5,80.8,75.9,High
ST0124,22,Male,Medicine,68.7,3.09,5.7,65.2,64.7,42.6,Medium
ST0125,29,Male,Medicine,78.0,3.22,5.0,60.1,42.4,64.4,Medium
ST0126,20,Male,Accounting,70.1,2.79,4.5,56.7,62.4,62.8,Medium
ST0127,20,Female,Accounting,70.0,2.8,4.7,68.6,43.5,43.2,Medium
ST0128,27,Female,Accounting,95.1,3.95,9.5,73.4,88.4,79.6,High
ST0129,26,Female,Computer Science,100.0,4.0,4.0,71.1,89.1,77.9,High
ST0130,23,Female,Accounting,78.5,2.8,4.1,72.6,62.0,64.5,Medium
ST0131,18,Male,Economics,71.3,2.08,1.5,55.3,22.2,64.8,Low
ST0132,29,Male,Law,52.1,1.98,6.2,64.7,64.4,59.3,Medium
ST0133,20,Male,Economics,76.4,3.22,5.3,59.0,61.9,49.6,Medium
ST0134,29,Female,Economics,73.6,2.76,2.2,68.4,68.3,74.4,Medium
ST0135,23,Female,Accounting,78.3,2.48,6.8,55.7,62.5,66.2,Medium
ST0136,22,Female,Economics,83.9,3.54,8.6,76.0,78.6,65.6,High
ST0137,24,Male,Economics,86.0,3.53,8.9,85.8,87.0,72.8,High
ST0138,22,Female,Accounting,68.2,2.57,7.7,50.6,56.2,61.3,Medium
ST0139,22,Female,Economics,67.1,2.69,6.1,70.5,49.3,61.6,Medium
ST0140,26,Female,Engineering,56.2,1.4,1.9,18.7,37.0,28.0,Low
ST0141,17,Female,Accounting,41.6,1.21,1.2,26.9,40.6,38.3,Low
ST0142,22,Female,Accounting,87.2,2.94,1.0,81.9,67.5,77.6,Medium
ST0143,24,Male,Computer Science,54.5,1.77,2.6,31.5,43.2,6.5,Low
ST0144,28,Female,Computer Science,52.5,2.5,2.1,60.7,34.8,50.0,Low
ST0145,22,Female,Education,63.2,3.18,5.5,59.8,35.0,55.5,Medium
ST0146,27,Male,Business Admin,88.5,3.73,8.3,74.0,75.7,87.6,High
ST0147,26,Female,Accounting,76.0,2.99,6.0,52.2,53.2,51.2,Medium
ST0148,29,Male,Engineering,55.6,2.09,4.0,48.3,36.3,23.8,Low
ST0149,17,Female,Law,73.4,3.03,6.5,72.0,73.7,64.1,Medium
ST0150,20,Female,Medicine,83.8,4.0,8.2,85.1,81.1,61.0,High
ST0151,19,Female,Economics,77.1,3.5,1.0,79.2,57.1,60.9,Medium
ST0152,24,Male,Business Admin,45.2,2.06,0.0,49.0,33.0,24.4,Low
ST0153,23,Female,Education,66.6,2.94,3.5,69.6,66.9,76.5,Medium
ST0154,19,Male,Economics,73.0,3.32,3.6,69.5,58.1,57.4,Medium
ST0155,23,Female,Medicine,87.1,3.66,12.2,89.9,87.0,74.4,High
ST0156,27,Female,Engineering,63.1,3.18,6.8,76.7,54.0,55.7,Medium
ST0157,24,Male,Law,96.0,3.46,10.3,80.5,82.6,68.8,High
ST0158,24,Female,Business Admin,53.0,0.4,1.7,20.4,52.5,47.3,Low
ST0159,23,Female,Medicine,65.5,2.66,7.2,60.9,68.4,48.3,Medium
ST0160,19,Male,Computer Science,42.3,2.41,1.1,36.1,58.0,32.8,Low
ST0161,26,Male,Medicine,74.3,2.9,4.9,49.0,63.5,50.7,Medium
ST0162,28,Female,Medicine,79.8,3.35,1.4,75.7,55.9,56.7,Medium
ST0163,26,Male,Computer Science,80.7,3.66,9.1,90.6,74.1,91.3,High
ST0164,27,Female,Law,86.6,3.51,8.5,83.3,78.3,72.9,High
ST0165,28,Male,Engineering,75.2,2.71,6.4,71.9,69.9,61.2,Medium
ST0166,23,Female,Law,78.8,3.12,1.9,65.8,73.7,54.4,Medium
ST0167,25,Female,Education,83.4,3.47,6.0,83.0,80.2,79.6,High
ST0168,29,Male,Computer Science,55.3,2.12,1.3,45.0,39.0,30.4,Low
ST0169,29,Male,Computer Science,60.4,1.78,0.1,43.2,40.8,25.0,Low
ST0170,26,Male,Education,81.0,3.4,8.7,75.9,85.1,79.2,High
ST0171,28,Male,Business Admin,66.3,2.5,2.8,37.5,32.7,44.6,Low
ST0172,23,Male,Computer Science,64.4,2.5,3.1,26.9,30.4,15.7,Low
ST0173,20,Female,Economics,88.0,2.66,9.7,81.6,51.0,50.9,Medium
ST0174,27,Male,Accounting,78.4,3.51,9.3,90.1,80.1,65.4,High
ST0175,18,Male,Law,56.2,1.77,4.1,57.2,55.6,31.3,Low
ST0176,26,Male,Medicine,88.3,2.6,4.4,64.7,61.5,70.5,Medium
ST0177,21,Female,Education,79.3,2.71,6.3,57.3,83.5,35.0,Medium
ST0178,22,Male,Computer Science,69.7,2.77,8.0,55.1,73.1,46.2,Medium
ST0179,17,Male,Computer Science,98.8,3.46,9.1,79.3,90.3,86.7,High
ST0180,28,Male,Economics,76.4,2.34,3.6,51.7,37.5,70.6,Medium
ST0181,19,Male,Law,100.0,3.46,7.3,80.2,70.9,80.8,High
ST0182,18,Female,Business Admin,47.5,1.65,1.1,38.7,39.0,31.8,Low
ST0183,29,Female,Education,70.2,2.81,3.6,72.0,61.0,53.0,Medium
ST0184,24,Male,Law,31.2,2.07,0.5,51.2,35.1,47.4,Low
ST0185,29,Female,Law,91.5,3.74,7.6,76.3,79.1,70.8,High
ST0186,26,Male,Law,64.7,3.49,6.9,68.9,70.1,78.9,High
ST0187,18,Male,Medicine,83.1,3.74,8.1,76.4,70.8,64.0,High
ST0188,25,Male,Business Admin,30.7,2.36,1.1,48.9,22.8,24.9,Low
ST0189,21,Male,Education,80.6,2.94,4.1,65.6,50.5,59.1,Medium
ST0190,26,Female,Economics,63.6,2.83,4.9,57.3,49.7,58.1,Medium
ST0191,24,Female,Economics,88.3,4.0,8.3,94.0,96.9,70.4,High
ST0192,28,Male,Computer Science,70.8,2.81,1.7,56.7,65.6,82.3,Medium
ST0193,20,Male,Engineering,57.9,2.79,7.4,68.4,64.6,71.1,Medium
ST0194,26,Male,Law,83.8,3.52,7.0,79.2,79.8,75.0,High
ST0195,18,Male,Computer Science,84.4,3.32,6.5,49.4,56.4,55.3,Medium
ST0196,18,Male,Medicine,32.9,2.5,3.8,45.7,37.3,52.7,Low
ST0197,21,Female,Law,87.5,4.0,11.3,86.1,90.0,74.6,High
ST0198,26,Male,Economics,51.3,1.8,3.8,42.0,41.2,34.1,Low
ST0199,23,Male,Business Admin,95.0,3.81,10.7,78.0,90.4,92.7,High
ST0200,23,Female,Accounting,81.6,3.49,7.9,81.4,85.1,80.3,High
ST0201,27,Male,Economics,74.0,2.7,4.9,70.0,39.9,57.9,Medium
ST0202,22,Female,Law,61.9,2.37,6.2,43.0,73.3,60.3,Medium
ST0203,29,Male,Economics,76.9,3.42,8.4,77.0,79.7,80.2,High
ST0204,29,Female,Computer Science,45.3,2.41,0.8,20.4,52.5,51.7,Low
ST0205,20,Male,Business Admin,62.8,2.93,8.5,69.0,70.4,66.2,Medium
ST0206,19,Male,Economics,79.5,3.38,4.1,44.6,70.5,61.5,Medium
ST0207,27,Female,Business Admin,95.0,2.54,3.3,62.9,71.8,80.8,Medium
ST0208,28,Female,Economics,72.4,3.1,3.7,46.7,76.9,68.9,Medium
ST0209,21,Male,Economics,79.2,3.64,11.0,88.0,83.7,76.6,High
ST0210,26,Male,Education,66.9,3.15,5.2,65.5,62.0,63.0,Medium
ST0211,29,Male,Medicine,86.3,2.9,6.5,44.4,70.7,52.8,Medium
ST0212,22,Female,Education,62.2,2.8,4.7,72.6,75.1,72.8,Medium
ST0213,25,Female,Law,49.3,2.32,3.7,66.1,54.8,53.1,Medium
ST0214,20,Female,Education,63.6,2.6,4.6,62.8,75.0,67.1,Medium
ST0215,27,Female,Education,81.8,3.52,8.3,77.9,82.2,63.1,High
ST0216,21,Male,Economics,85.8,3.51,9.3,90.2,77.4,85.5,High
ST0217,28,Female,Engineering,85.4,3.01,6.1,82.1,88.2,72.8,High
ST0218,24,Male,Law,80.3,3.42,6.7,91.4,92.3,65.4,High
ST0219,21,Male,Medicine,76.0,2.6,1.9,73.5,63.6,43.3,Medium
ST0220,27,Female,Computer Science,69.8,2.69,8.2,59.4,57.4,44.4,Medium
ST0221,28,Male,Computer Science,64.3,2.8,1.0,46.9,58.9,59.2,Medium
ST0222,26,Female,Engineering,59.1,2.92,5.3,55.9,61.4,73.9,Medium
ST0223,22,Male,Education,87.1,3.36,8.2,78.7,76.2,68.0,High
ST0224,21,Male,Economics,16.8,2.5,3.6,35.5,38.2,23.9,Low
ST0225,21,Male,Engineering,89.0,3.5,5.3,72.2,61.8,44.6,Medium
ST0226,25,Male,Accounting,84.4,3.53,8.8,81.4,80.4,69.5,High
ST0227,24,Female,Medicine,95.8,2.97,11.3,93.1,77.6,57.2,High
ST0228,29,Male,Medicine,61.9,2.59,8.1,68.6,50.8,42.0,Medium
ST0229,29,Male,Computer Science,77.0,2.59,6.0,81.4,68.2,57.5,Medium
ST0230,27,Female,Accounting,95.9,3.73,11.4,73.1,98.5,76.6,High
ST0231,17,Female,Business Admin,66.0,3.13,3.5,76.0,52.4,58.4,Medium
ST0232,28,Female,Medicine,69.5,2.37,1.0,73.0,61.6,58.1,Medium
ST0233,19,Female,Business Admin,58.1,2.5,0.4,37.8,17.0,24.9,Low
ST0234,23,Female,Law,93.9,4.0,8.6,86.2,85.9,68.2,High
ST0235,21,Female,Accounting,83.7,3.81,7.8,81.7,71.7,87.8,High
ST0236,28,Female,Computer Science,72.6,2.24,4.7,51.4,65.9,55.4,Medium
ST0237,27,Female,Economics,83.6,3.31,10.7,80.6,77.5,76.4,High
ST0238,17,Male,Law,74.1,2.39,3.2,75.8,56.4,52.5,Medium
ST0239,25,Female,Business Admin,39.3,1.89,0.0,49.8,52.1,43.8,Low
ST0240,25,Female,Education,81.4,3.25,8.2,78.8,76.0,88.2,High
ST0241,25,Male,Medicine,43.7,1.97,1.4,44.8,49.0,47.0,Low
ST0242,19,Female,Law,75.3,4.0,8.2,88.3,71.8,70.7,High
ST0243,24,Female,Accounting,95.0,2.21,7.5,73.5,50.3,68.1,Medium
ST0244,26,Female,Computer Science,75.4,2.71,3.4,54.8,80.5,58.0,Medium
ST0245,23,Male,Engineering,81.8,3.92,6.3,78.7,80.3,78.9,High
ST0246,23,Female,Accounting,93.5,3.82,7.0,79.7,89.6,85.2,High
ST0247,27,Male,Education,52.2,2.82,8.8,52.5,51.7,65.6,Medium
ST0248,23,Male,Business Admin,92.8,3.41,8.5,88.0,83.4,80.1,High
ST0249,24,Male,Economics,87.0,3.74,8.0,80.5,72.1,77.7,High
ST0250,25,Female,Engineering,55.1,2.01,3.2,34.8,42.9,44.6,Low
ST0251,19,Male,Medicine,73.5,2.95,5.0,41.1,61.6,80.1,Medium
ST0252,20,Male,Education,75.7,2.92,7.4,49.4,67.3,63.9,Medium
ST0253,24,Female,Computer Science,96.2,3.86,6.7,88.6,79.5,78.6,High
ST0254,18,Male,Law,83.9,2.77,2.8,58.1,61.8,70.3,Medium
ST0255,19,Female,Accounting,75.0,2.03,3.9,38.2,44.4,48.1,Low
ST0256,22,Female,Accounting,57.4,2.01,1.4,30.5,41.8,25.9,Low
ST0257,29,Male,Economics,70.0,2.57,4.2,67.2,69.6,72.5,Medium
ST0258,23,Female,Accounting,52.7,2.07,2.3,19.9,33.6,33.6,Low
ST0259,25,Female,Law,69.8,2.41,4.7,55.6,35.0,44.0,Medium
ST0260,23,Female,Law,47.7,2.45,5.9,70.8,55.8,51.2,Medium
ST0261,25,Male,Computer Science,84.2,3.12,6.7,57.3,71.1,38.5,Medium
ST0262,27,Male,Engineering,73.3,2.42,1.4,63.1,65.5,65.0,Medium
ST0263,27,Female,Medicine,80.6,3.83,6.9,90.9,79.3,77.6,High
ST0264,24,Female,Law,79.7,2.47,6.5,53.9,67.9,43.7,Medium
ST0265,26,Female,Medicine,95.0,3.93,9.4,83.3,85.6,87.0,High
ST0266,25,Male,Medicine,71.9,2.92,5.5,45.7,62.9,52.4,Medium
ST0267,29,Female,Medicine,35.9,1.98,1.0,38.7,30.6,23.0,Low
ST0268,26,Male,Education,59.4,2.3,3.8,41.6,53.2,26.3,Low
ST0269,18,Female,Law,62.9,2.13,2.3,45.3,26.5,23.6,Low
ST0270,28,Female,Engineering,100.0,3.55,8.6,73.2,68.1,77.3,High
ST0271,19,Female,Engineering,68.6,2.8,5.2,85.0,56.6,73.8,Medium
ST0272,21,Male,Business Admin,72.3,2.01,6.3,70.1,50.1,62.2,Medium
ST0273,25,Female,Engineering,36.8,1.0,1.4,38.5,33.2,23.8,Low
ST0274,19,Male,Engineering,84.8,3.68,8.9,83.5,74.6,87.4,High
ST0275,25,Male,Education,87.5,1.81,6.4,67.4,64.7,60.2,Medium
ST0276,28,Male,Engineering,77.4,2.89,7.3,66.2,65.1,76.7,Medium
ST0277,27,Female,Economics,52.9,2.01,3.1,41.3,47.1,65.0,Low
ST0278,26,Female,Economics,86.1,2.74,4.3,70.0,48.9,69.5,Medium
ST0279,25,Male,Computer Science,66.0,2.25,3.9,59.4,49.4,57.5,Medium
ST0280,18,Female,Medicine,93.3,3.36,11.0,83.0,92.4,97.3,High
ST0281,20,Female,Accounting,69.5,3.04,7.7,55.5,63.8,56.6,Medium
ST0282,26,Male,Computer Science,69.6,2.13,6.5,53.7,58.6,65.9,Medium
ST0283,17,Male,Business Admin,83.4,2.73,10.4,80.0,92.1,81.2,High
ST0284,20,Female,Law,97.2,3.53,11.4,77.6,81.3,82.6,High
ST0285,20,Male,Computer Science,68.4,3.45,7.7,43.9,82.6,51.2,Medium
ST0286,19,Female,Law,68.6,2.7,4.2,85.0,59.2,55.0,Medium
ST0287,24,Female,Medicine,100.0,3.16,7.8,89.5,80.3,82.4,High
ST0288,27,Female,Accounting,48.8,1.73,3.4,45.5,23.8,40.1,Low
ST0289,22,Male,Medicine,95.1,3.83,9.1,85.1,90.0,67.3,High
ST0290,19,Male,Business Admin,85.2,3.37,9.8,91.8,75.2,58.9,High
ST0291,25,Female,Law,68.5,1.35,3.2,33.5,47.9,46.2,Low
ST0292,29,Male,Education,53.9,0.98,3.0,46.0,42.9,40.3,Low
ST0293,19,Male,Accounting,81.0,2.37,7.6,63.3,61.3,56.2,Medium
ST0294,18,Male,Law,60.5,2.94,7.9,47.0,60.8,59.2,Medium
ST0295,21,Female,Law,83.2,3.4,4.5,85.0,39.4,61.6,Medium
ST0296,21,Female,Medicine,45.7,2.15,1.8,30.1,28.9,61.2,Low
ST0297,22,Female,Education,92.4,3.54,9.0,88.6,89.5,71.1,High
ST0298,26,Female,Law,59.2,1.78,2.0,36.8,36.7,58.5,Low
ST0299,25,Male,Medicine,75.0,2.09,1.9,20.9,28.9,36.5,Low
ST0300,27,Female,Computer Science,82.3,3.42,12.2,82.2,80.9,72.6,High
ST0301,18,Male,Engineering,97.4,3.54,8.0,69.4,79.5,73.6,High
ST0302,27,Female,Engineering,59.6,2.35,4.4,53.8,62.2,54.7,Medium
ST0303,19,Male,Business Admin,90.2,3.9,6.9,90.0,74.2,95.2,High
ST0304,29,Male,Business Admin,62.4,2.34,6.7,61.7,69.3,80.0,Medium
ST0305,18,Male,Accounting,54.3,2.47,0.6,40.4,54.4,18.4,Low
ST0306,21,Female,Business Admin,89.0,3.81,9.4,73.9,76.0,89.4,High
ST0307,20,Female,Computer Science,74.5,3.12,4.2,54.3,67.6,69.3,Medium
ST0308,29,Male,Economics,78.6,2.4,1.8,58.7,71.7,56.1,Medium
ST0309,21,Female,Education,76.0,2.97,2.0,53.0,60.1,52.4,Medium
ST0310,23,Female,Economics,80.7,3.69,7.7,58.9,95.5,69.4,High
ST0311,23,Male,Medicine,81.1,3.11,7.5,76.8,78.9,75.0,High
ST0312,18,Female,Medicine,86.5,3.33,5.9,68.6,80.6,63.7,Medium
ST0313,26,Male,Business Admin,79.1,3.59,7.4,74.0,72.9,66.6,High
ST0314,25,Female,Accounting,73.2,2.55,8.4,72.0,77.0,51.2,Medium
ST0315,24,Male,Engineering,69.2,2.84,5.3,61.6,60.7,35.0,Medium
ST0316,20,Female,Computer Science,85.4,2.95,4.7,73.0,36.4,52.9,Medium
ST0317,23,Male,Medicine,81.9,3.59,4.6,92.6,78.0,80.6,High
ST0318,20,Male,Medicine,29.7,1.96,3.7,38.8,26.6,30.8,Low
ST0319,26,Male,Education,83.4,2.62,5.0,60.0,56.1,56.5,Medium
ST0320,21,Male,Computer Science,85.4,2.41,2.9,62.6,61.1,61.8,Medium
ST0321,20,Female,Law,67.2,2.94,9.7,54.8,55.8,57.4,Medium
ST0322,22,Female,Accounting,91.2,3.68,11.6,62.6,60.9,74.0,High
ST0323,22,Female,Business Admin,83.0,2.17,1.0,67.7,62.4,47.1,Medium
ST0324,29,Female,Economics,73.1,2.55,6.0,35.0,51.4,46.7,Medium
ST0325,17,Male,Engineering,80.0,2.06,5.1,67.6,78.6,53.2,Medium
ST0326,24,Male,Medicine,75.2,2.08,1.0,70.4,59.9,69.8,Medium
ST0327,24,Female,Accounting,100.0,3.73,9.6,82.1,67.4,88.8,High
ST0328,22,Female,Law,56.4,2.33,7.9,58.5,74.5,57.2,Medium
ST0329,18,Female,Economics,44.9,2.25,2.0,21.5,40.0,64.4,Low
ST0330,18,Male,Engineering,64.9,2.01,2.3,26.9,40.8,50.4,Low
ST0331,18,Male,Medicine,84.9,3.42,12.3,86.9,82.1,70.2,High
ST0332,23,Male,Law,80.8,3.0,6.4,58.7,56.6,54.5,Medium
ST0333,22,Female,Accounting,56.3,2.31,4.8,42.1,49.9,52.1,Medium
